trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.1999999999999996, 'e': 0.06521928966812753}",30,12,35.63666587614642,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1999999999999996, 'e': 0.06329176835964073}",20,8,24.83494912222764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1999999999999996, 'e': 0.06142121391500013}",20,4,29.662998624314913,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1999999999999996, 'e': 0.05960594270893937}",20,0,27.501601060574583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.1999999999999996, 'e': 0.057844320874838456}",35,9,38.28216526009024,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1999999999999996, 'e': 0.056134762834133725}",25,13,-3.088071853828973,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.1999999999999996, 'e': 0.05447572986918988}",20,14,10.54881955774064,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1999999999999996, 'e': 0.05286572873835037}",30,16,11.464942894843597,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.1999999999999996, 'e': 0.051303310331919136}",20,3,27.63263013691087,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1999999999999996, 'e': 0.049787068367863944}",20,7,22.35443078706899,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.1999999999999996, 'e': 0.04831563812606779}",25,16,13.44986841815896,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1999999999999996, 'e': 0.046887695219988486}",30,16,14.244306203296366,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1999999999999996, 'e': 0.04550195440462157}",35,21,23.232675617863027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1999999999999996, 'e': 0.04415716841969286}",20,14,12.415947638240244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1999999999999996, 'e': 0.04285212686704019}",20,9,20.53959214258993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1999999999999996, 'e': 0.04158565512117318}",35,12,27.484765439730445,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1999999999999996, 'e': 0.04035661327203115}",35,22,25.42630005332718,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1999999999999996, 'e': 0.03916389509898708}",25,11,23.939451894618344,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1999999999999996, 'e': 0.038006427075174314}",25,0,-0.3600142033573792,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
111,False,"{'a': 0.1999999999999996, 'e': 0.036883167401240015}",30,15,24.95363887785288,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1999999999999996, 'e': 0.0357931050676553}",20,0,31.33129167282938,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.1999999999999996, 'e': 0.03473525894473856}",30,21,5.332243868243761,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.1999999999999996, 'e': 0.033708676899572416}",20,9,19.01063360848333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
